,省,村名,站点,编号,签约时间,开业时间,银行,卡数,存款数,卡均,开业时间2,签约时间2,存款数2
5755,陕西省,宝鸡市扶风县段家镇青龙村,扶风县段家镇青龙村,6103241040004,2016-05-30 00:00:00,,长安银行,3,109023.06,36341.02,-9223372036854775808,78,10.902306
5756,四川省,达州市渠县文崇镇下湾村,渠县文崇镇下湾村,5117251050001,2016-05-28 00:00:00,,中国银行,0,0.0,\N,-9223372036854775808,80,0.0
5757,陕西省,咸阳市兴平市西吴镇西二村,兴平市西吴镇西二村,6104811030004,2016-06-07 00:00:00,,长安银行,1,9.0,9,-9223372036854775808,70,0.0009
5758,河北省,唐山市遵化市苏家洼镇上石河村,遵化市苏家洼镇上石河村,1302811100009,2016-05-30 00:00:00,,中国银行,668,80000.0,119.760479,-9223372036854775808,78,8.0
5759,四川省,成都市温江区公平街道办事处惠民社区,成都市温江区公平镇惠民社区助农取款服务点,5101150020001,2016-05-21 00:00:00,,中国银行,1,140130.36,140130.36,-9223372036854775808,87,14.013036
5760,山东省,临沂市平邑县平邑镇同台庄村,平邑县平邑镇同台庄村,3713261000006,2016-05-30 00:00:00,,中国银行,0,0.0,\N,-9223372036854775808,78,0.0
5761,河南省,安阳市林州市姚村镇刘家岗村,林州市姚村镇刘家岗村,4105811070003,2016-04-25 00:00:00,,中国银行,48,493272.71,10276.51479,-9223372036854775808,113,49.327271
5762,山东省,烟台市莱州市程郭镇刘家村,莱州市程郭镇刘家村,3706831070006,2016-05-31 00:00:00,,中国银行,0,0.0,\N,-9223372036854775808,77,0.0
5763,山东省,淄博市张店区房镇镇积家村,张店区房镇镇积家村,3703031070002,2016-05-30 00:00:00,,中国银行,0,0.0,\N,-9223372036854775808,78,0.0
5764,湖南省,常德市澧县澧澹乡夹堤村,澧县澧澹乡夹堤村,4307232040001,2016-05-31 00:00:00,,长沙银行,0,0.0,\N,-9223372036854775808,77,0.0
5765,河北省,石家庄市藁城市廉州镇辛丰村,藁城市廉州镇辛丰村,1301821000034,2016-05-31 00:00:00,,张家口银行,38,792800.0,20863.1579,-9223372036854775808,77,79.28
5766,河北省,衡水市安平县南王庄镇南王宋村,安平县南王庄镇南王宋村,1311251020013,2016-05-31 00:00:00,,中国银行,0,0.0,\N,-9223372036854775808,77,0.0
5767,河北省,石家庄市赵县南柏舍镇王家郭二村,赵县南柏舍镇王家郭二村平安,1301331050011,2016-07-16 00:00:00,,平安银行,0,0.0,\N,-9223372036854775808,31,0.0
5768,陕西省,咸阳市兴平市赵村镇址坊头村,兴平市赵村镇址坊头村,6104811010001,2016-05-31 00:00:00,,长安银行,0,0.0,\N,-9223372036854775808,77,0.0
5769,陕西省,咸阳市兴平市南市镇张东村,兴平市南市镇张东村,6104811040002,2016-05-31 00:00:00,,长安银行,0,0.0,\N,-9223372036854775808,77,0.0
5770,河北省,保定市定州市大辛庄镇泉邱二村,定州市大辛庄镇泉邱二村一站,1306821070005,2016-06-12 00:00:00,,定州市农村信用合作联社,0,0.0,\N,-9223372036854775808,65,0.0
5771,四川省,成都市温江区寿安镇汪家湾社区,温江区寿安镇汪家湾社区,5101151060003,2016-05-31 00:00:00,,中国银行,0,0.0,\N,-9223372036854775808,77,0.0
5772,四川省,成都市温江区万春街道办事处幸福村,温江区万春街道办事处幸福村,5101150070001,2016-05-31 00:00:00,,中国银行,0,0.0,\N,-9223372036854775808,77,0.0
5773,陕西省,咸阳市兴平市南市镇北市村,兴平市南市镇北市村二站,6104811040003,2016-06-03 00:00:00,,长安银行,0,0.0,\N,-9223372036854775808,74,0.0
5774,山东省,聊城市东昌府区朱老庄乡毛营村,东昌府区朱老庄乡毛营村,3715022010015,2016-06-01 00:00:00,,中国银行,0,0.0,\N,-9223372036854775808,76,0.0
5775,山东省,威海市环翠区张村镇皂南台村,威海市环翠区张村镇皂南台村助农服务点,3710021000005,2016-06-01 00:00:00,,中国银行,0,0.0,\N,-9223372036854775808,76,0.0
5776,河北省,衡水市武邑县清凉店镇中豆屯村,武邑县清凉店镇中豆屯村,1311221010001,2016-06-01 00:00:00,,中国银行,0,0.0,\N,-9223372036854775808,76,0.0
5777,山东省,烟台市福山区古现街道(烟台开发区)四合,福山区古现街道四合村,3706110030006,2016-06-01 00:00:00,,中国银行,0,0.0,\N,-9223372036854775808,76,0.0
5778,山东省,烟台市牟平区大窑镇董格庄村,牟平区大窑镇董格庄村,3706121030011,2016-06-01 00:00:00,,中国银行,0,0.0,\N,-9223372036854775808,76,0.0
5779,山东省,烟台市牟平区高陵镇下雨村,牟平区高陵镇下雨村,3706121090006,2016-06-01 00:00:00,,中国银行,0,0.0,\N,-9223372036854775808,76,0.0
5780,陕西省,咸阳市杨凌区五泉镇帅家村,杨凌区五泉镇帅家村,6104031000003,2016-06-01 00:00:00,,长安银行,0,0.0,\N,-9223372036854775808,76,0.0
5781,河北省,石家庄市无极县七汲镇西庄村,无极县七汲镇西庄村,1301301010013,2016-06-01 00:00:00,,张家口银行,0,0.0,\N,-9223372036854775808,76,0.0
5782,陕西省,汉中市汉台区宗营镇中街村,汉台区宗营镇中街村,6107021040002,2016-06-02 00:00:00,,长安银行,0,0.0,\N,-9223372036854775808,75,0.0
5783,山东省,烟台市莱阳市姜疃镇董格庄村,莱阳市姜疃镇董格庄村,3706821050001,2016-06-02 00:00:00,,中国银行,0,0.0,\N,-9223372036854775808,75,0.0
5784,河北省,石家庄市高邑县中韩乡徐家庄村,高邑县中韩乡徐家庄村,1301272010005,2016-06-02 00:00:00,,张家口银行,7,100000.0,14285.71429,-9223372036854775808,75,10.0
5785,河北省,石家庄市高邑县中韩乡里村,高邑县中韩乡里村,1301272010006,2016-06-02 00:00:00,,张家口银行,0,0.0,\N,-9223372036854775808,75,0.0
5786,河北省,石家庄市高邑县中韩乡北陈庄村,高邑县中韩乡北陈庄村张商,1301272010007,2016-06-02 00:00:00,,张家口银行,36,434100.0,12058.33333,-9223372036854775808,75,43.41
5787,河北省,石家庄市赞皇县张楞乡蒲宏村,赞皇县张楞乡蒲宏村,1301292080002,2016-06-02 00:00:00,,张家口银行,0,0.0,\N,-9223372036854775808,75,0.0
5788,河北省,石家庄市高邑县中韩乡东韩庄村,高邑县中韩乡东韩庄村张商,1301272010008,2016-06-02 00:00:00,,张家口银行,13,144000.0,11076.92308,-9223372036854775808,75,14.4
5789,山东省,青岛市胶南市隐珠街道办事处三家庄村,胶南市隐珠街道办事处三家庄村,3702840030015,2016-06-03 00:00:00,,中国银行,0,0.0,\N,-9223372036854775808,74,0.0
5790,四川省,成都市彭州市蒙阳镇杨湾社区,彭州市蒙阳镇杨湾社区,5101821050002,2016-06-27 00:00:00,,中国银行,0,0.0,\N,-9223372036854775808,50,0.0
